#{"t_start": 1709064728.0692904, "env_id": "None"}
r,l,t
0.90274787,4,4.605096
0.65281475,5,4.626093
2.1456985,5,4.646104
-1.0,1,4.649093
-1.0,1,4.658092
-1.0,1,4.660093
-1.0,1,4.662093
-0.05888474,3,4.677093
2.290593,6,4.699094
0.99112654,5,4.718092
2.6549668,6,4.738094
-0.5682889,2,4.743093
-1.0,1,4.752092
1.590899,6,4.776099
-0.13412964,3,4.785093
1.1848304,5,4.807093
-1.0,1,4.818093
-0.706421,2,4.823092
0.00939703,3,4.836107
-0.5258334,2,4.842093
0.82270014,4,4.857092
0.4394734,4,4.873092
-0.50548756,2,4.879105
-1.0,1,4.882098
-0.3609932,2,4.897105
-1.0,1,4.900093
0.42367113,4,4.918092
-0.15152383,3,4.925092
-0.1296432,3,4.939092
3.6591973,7,4.964108
1.3558054,5,4.984092
-0.50201243,2,4.995092
-1.0,1,4.998094
-1.0,1,5.000093
0.17249894,3,5.014109
-1.0,1,5.017094
-1.0,1,5.020092
0.61668146,4,5.037093
-1.0,1,5.040092
-0.36370808,2,5.045093
-0.48956263,2,5.058092
2.1405425,6,5.084096
-0.21258247,3,5.101095
-1.0,1,5.105098
0.46260667,4,5.126092
-1.0,1,5.129092
2.270085,6,5.155093
-1.0,1,5.157092
3.3848906,8,5.192092
2.0798597,6,5.214106
1.6708302,5,5.233093
-1.0,1,5.236093
-1.0,1,5.239092
0.5216129,4,5.256092
-0.5580163,2,5.268092
1.2949784,5,5.289091
0.04976678,3,5.294091
-1.0,1,5.297091
0.6585165,4,5.314113
1.0176744,4,5.330092
-0.5912057,2,5.335093
1.1888843,5,5.354093
-1.0,1,5.364105
-1.0,1,5.367099
-1.0,1,5.371093
-0.10466838,3,5.387093
-0.52627254,2,5.392096
-1.0,1,5.395092
0.8372617,4,5.412092
-0.36438084,2,5.417093
-1.0,1,5.428115
4.403525,8,5.458092
3.2001286,7,5.494093
0.04722488,3,5.502094
-1.0,1,5.506093
0.28373337,4,5.526093
4.5039907,9,5.569093
0.5677252,4,5.590099
1.1193495,4,5.610092
0.17100239,3,5.620098
1.0374007,4,5.640093
2.1073408,5,5.662092
3.367464,8,5.699092
-0.021936595,3,5.707092
0.6737311,4,5.723092
-0.1930418,3,5.737092
-1.0,1,5.739092
0.087604284,3,5.746092
-1.0,1,5.755092
1.3580914,5,5.7731
2.6491463,6,5.794092
4.395361,8,5.821093
0.47465837,3,5.833093
0.67787886,4,5.851093
-1.0,1,5.855092
1.1019845,6,5.877092
0.925328,4,5.894092
-0.50435936,2,5.899092
-0.36456096,2,5.910092
3.4250078,7,5.935093
-0.19035637,3,5.951092
1.112356,4,5.969092
1.1551013,5,5.992098
-0.104306936,3,6.001093
1.2076523,4,6.021093
0.74770963,4,6.040092
-0.518908,2,6.045092
-1.0,1,6.048093
0.62032294,3,6.062092
-0.45592755,2,6.066092
-1.0,1,6.076104
-1.0,1,6.078092
3.9732342,8,6.107092
1.0361166,5,6.126092
-1.0,1,6.135092
-1.0,1,6.137092
-0.36949575,2,6.141093
-0.4427775,2,6.153092
2.232202,6,6.179098
-0.6049688,2,6.184099
-1.0,1,6.187096
0.2337277,3,6.204094
-1.0,1,6.206097
0.6842525,4,6.225093
1.8885531,6,6.249094
-1.0,1,6.251093
-0.28694135,3,6.265096
1.5805085,4,6.280095
-0.70572996,2,6.285095
-1.0,1,6.287093
1.0617828,4,6.307105
-0.59160894,2,6.321093
0.049487352,3,6.329092
1.0796502,5,6.352093
0.84325397,4,6.370099
-0.5596599,2,6.374093
1.9916563,6,6.403099
-0.65267015,2,6.409092
-1.0,1,6.411092
-1.0,1,6.415093
4.161976,9,6.455092
-0.27209926,3,6.471093
-0.4072973,2,6.475094
-0.0777151,4,6.493094
-0.17751056,3,6.507092
3.360827,7,6.532093
0.73014426,5,6.551093
-0.3795467,3,6.566094
0.9339479,4,6.577093
-1.0,1,6.589092
0.893065,5,6.609092
1.1496677,5,6.629094
-0.6611947,2,6.635092
-0.51972055,2,6.640105
2.393176,6,6.675096
0.34075236,3,6.683093
-1.0,1,6.686093
1.333364,5,6.704092
4.2612495,8,6.736093
-0.5808388,2,6.740092
-1.0,1,6.751092
-1.0,1,6.753092
-0.33250964,2,6.758092
5.0648265,10,6.796092
-1.0,1,6.799102
-1.0,1,6.808095
-0.046928704,3,6.816095
6.9079046,12,6.864094
-1.0,1,6.867097
1.1347742,5,6.887093
2.9977612,7,6.912092
0.5709543,4,6.933093
2.7756858,6,6.956097
3.4516296,8,6.989092
5.8032556,11,7.029094
0.7675381,4,7.044092
2.0071032,7,7.067093
-1.0,1,7.069092
-1.0,1,7.079093
0.06546426,3,7.085098
2.0772018,5,7.104092
-0.52657163,2,7.115093
-0.6169095,2,7.119092
-0.3850938,2,7.124091
2.3310246,6,7.152095
0.5445616,4,7.162094
-0.5382582,2,7.172093
4.338043,9,7.208092
2.434638,6,7.229092
1.0302224,5,7.248093
-1.0,1,7.250092
0.33862782,4,7.266098
-1.0,1,7.269092
0.49801207,4,7.288092
-1.0,1,7.292092
-0.5284877,2,7.303101
-1.0,1,7.316092
-0.67698765,2,7.321092
-1.0,1,7.324098
-0.2931463,2,7.338094
0.9167454,4,7.351092
1.4418392,5,7.378104
-1.0,1,7.391093
1.3880124,5,7.416098
1.6265566,5,7.439092
0.88902235,5,7.461092
-0.15098488,3,7.470092
3.788919,8,7.510098
-0.75750285,2,7.516093
1.1942039,5,7.539104
0.5877049,4,7.560092
1.3110318,5,7.584092
-1.0,1,7.587093
-1.0,1,7.590092
0.028258562,3,7.608092
-1.0,1,7.610091
1.8690591,6,7.639093
0.04975748,3,7.657092
2.913947,6,7.682092
-0.5141283,2,7.695091
7.498453,13,7.742093
-1.0,1,7.744092
-0.41209936,3,7.759093
-1.0,1,7.763098
-0.29200685,2,7.780093
-1.0,1,7.783092
3.2256064,8,7.812091
3.3829632,8,7.849092
5.3919916,10,7.901093
0.12335205,4,7.922092
1.2021899,5,7.951095
-0.6621076,2,7.958093
-0.0055099726,3,7.976091
-0.526506,2,7.982094
2.9098985,6,8.010093
0.29250157,4,8.036093
0.674858,4,8.058092
1.3279433,5,8.082092
4.444893,9,8.125092
6.390781,10,8.170092
1.9145865,6,8.193092
-1.0,1,8.196098
4.766443,8,8.231094
-1.0,1,8.234092
-0.4221635,2,8.239092
-0.41338086,3,8.255091
8.31613,14,8.322092
1.9440482,6,8.345092
1.1511722,6,8.371092
1.5537586,5,8.389093
0.44831836,4,8.406092
1.6892762,6,8.434092
-0.2533453,3,8.453093
-0.01810819,3,8.461092
1.8912215,7,8.492092
-1.0,1,8.494092
1.0400255,5,8.514092
0.46363926,3,8.534093
-1.0,1,8.537092
-1.0,1,8.540091
1.1004395,4,8.560093
3.096918,9,8.601092
0.37483025,3,8.610092
-0.55487335,2,8.624092
-1.0,1,8.626091
3.0532837,8,8.651093
-0.12735176,3,8.668092
-0.5990047,2,8.673092
-1.0,1,8.684095
-1.0,1,8.686094
3.3919892,10,8.727093
1.3233542,5,8.751095
5.891484,12,8.812093
1.9204855,8,8.851101
3.4458609,10,8.893095
5.712584,11,8.940094
-0.65915716,2,8.945094
2.0189562,6,8.974095
5.8384333,12,9.025095
1.3662531,6,9.051097
-1.0,1,9.054095
0.4476955,5,9.076095
-1.0,1,9.087098
-1.0,1,9.090095
-1.0,1,9.093095
1.3691182,5,9.114098
-0.6879622,2,9.118095
6.5097237,13,9.169097
1.7473326,6,9.190095
1.7937889,7,9.226095
2.1372578,6,9.248096
1.3935411,6,9.268095
0.78352094,5,9.286095
14.166466,23,9.375095
-1.0,1,9.377096
0.01679039,3,9.385095
9.4044895,19,9.457098
10.089503,17,9.531093
0.06787181,4,9.540092
-1.0,1,9.550092
1.4945168,5,9.568093
3.7493353,9,9.596092
-0.6475462,2,9.611094
4.8488836,10,9.649097
7.22497,14,9.715096
-1.0,1,9.718094
-1.0,1,9.722093
4.6901193,13,9.775092
4.187377,10,9.822092
3.3824,6,9.850097
0.9209267,6,9.883101
-0.16478598,3,9.899096
6.958702,16,9.972093
20.597578,38,10.035093
20.464308,45,10.103103
13.680709,30,10.149093
9.80866,26,10.191094
23.461311,32,10.240092
22.400143,32,10.285094
10.215914,24,10.317092
10.325293,14,10.336092
2.5853477,11,10.351092
18.278757,39,10.403092
1.7734392,5,10.428092
8.775399,20,10.512094
-1.0,1,10.523095
-0.078671575,4,10.535095
8.843954,19,10.618092
-1.0,1,10.620093
4.984424,11,10.671093
3.964222,9,10.703093
2.979581,10,10.743106
4.6569743,11,10.798092
2.2982583,6,10.820092
1.3597806,7,10.843092
2.1005545,7,10.874092
2.7558546,9,10.904092
6.5394764,12,10.958104
3.39774,11,11.000095
6.3407764,14,11.056095
0.56160796,4,11.072093
3.4654016,10,11.116092
1.8085046,7,11.14017
6.859828,17,11.205092
2.429914,6,11.235093
14.3986,22,11.327094
3.3205585,10,11.366093
0.5635545,4,11.381093
0.9281925,6,11.404092
1.5522504,6,11.430092
1.4774773,5,11.453091
-0.08411926,3,11.470091
4.024397,9,11.507092
-0.39855635,2,11.514092
1.3154266,6,11.538092
2.8503828,8,11.574092
-0.016737819,3,11.580108
13.916849,21,11.705093
1.6939013,7,11.741093
-0.2589504,2,11.748093
0.14637709,3,11.764099
9.587223,19,11.840093
-0.7468977,2,11.845093
14.147718,21,11.936093
10.161711,24,12.041092
7.0789814,11,12.080091
10.601433,19,12.157098
2.9397912,9,12.198092
3.656742,11,12.237092
-0.59556687,2,12.251091
10.67853,18,12.321091
4.445108,8,12.356091
1.0514603,4,12.374091
0.03322339,3,12.383091
6.245722,17,12.464095
0.23344517,4,12.475092
-0.66800845,2,12.48809
-1.0,1,12.490092
-0.7121218,2,12.496102
6.0436788,15,12.556092
1.9994323,10,12.592092
4.88797,11,12.638092
-0.5830851,2,12.643103
2.1996174,7,12.667092
4.1258907,8,12.703097
-0.49948353,2,12.708093
0.85472393,5,12.726091
8.382854,19,12.804091
4.3683367,11,12.845091
9.963563,15,12.899091
4.6536465,11,12.943097
5.802431,17,13.007091
-1.0,1,13.009091
0.14320397,6,13.031092
5.404369,13,13.082091
0.97278655,4,13.105103
13.376538,31,13.236092
1.8684185,10,13.276091
27.086905,41,13.447105
-0.6015717,2,13.461092
20.57248,26,13.560091
16.66436,23,13.646092
5.791835,13,13.699092
1.3016486,7,13.722091
3.6771073,9,13.759091
1.004209,4,13.776091
8.402656,25,13.877091
10.879956,24,13.980109
4.1158576,11,14.016092
-1.0,1,14.018091
13.128328,24,14.120092
0.16816461,4,14.139092
-0.110122025,3,14.148094
-1.0,1,14.158091
28.004473,38,14.313142
0.20897591,4,14.333095
15.495094,35,14.467097
6.0947804,17,14.530127
2.6738765,8,14.561095
12.698217,22,14.642091
25.57496,36,14.806091
10.854772,23,14.901092
-0.6633632,2,14.913092
3.5659475,11,14.956091
8.801499,25,15.045091
-0.46453846,2,15.050091
7.904557,17,15.119098
2.1571112,7,15.145093
19.112692,43,15.332092
0.8371798,8,15.360091
11.210144,29,15.484092
19.671629,36,15.617091
88.68868,128,15.807091
52.046417,128,15.976091
58.574806,128,16.140094
58.05221,128,16.305094
81.017944,128,16.466095
89.79093,128,16.633096
121.65454,128,16.801094
67.01931,128,16.963091
61.449936,128,17.123103
101.05379,128,17.2801
0.12841344,3,17.302094
11.415265,30,17.421094
9.306755,26,17.519097
5.685225,15,17.572094
2.3040206,8,17.603091
0.57910097,5,17.620091
68.32759,102,18.010091
57.593002,80,18.338096
21.450985,54,18.555614
49.63416,60,18.792604
-0.58682334,2,18.799606
26.730095,50,19.025605
6.845509,14,19.084607
-1.0,1,19.087605
10.9824295,19,19.164617
11.786451,24,19.266604
3.8989449,13,19.32861
4.1336317,12,19.372605
4.893858,9,19.408615
39.013367,74,19.696623
5.0737543,15,19.745604
16.263046,35,19.870657
-1.0,1,19.871657
10.032593,31,19.966657
21.380356,35,20.066656
16.034916,34,20.176667
6.6340256,20,20.243662
1.9246068,7,20.266658
25.195646,37,20.384656
18.296417,36,20.503656
29.340317,45,20.652658
20.989172,45,20.795656
15.649143,23,20.868658
3.1215968,9,20.920658
0.7758467,5,20.946657
41.880016,69,21.208668
60.870068,109,21.56967
16.082735,33,21.661656
38.8698,58,21.848659
52.463745,128,22.098662
84.509674,128,22.237657
77.714264,128,22.384659
60.136745,128,22.521183
38.690277,128,22.657256
88.30956,128,22.79018
63.62686,128,22.924179
61.07119,128,23.057179
51.8638,128,23.21418
59.706413,128,23.381181
24.757357,52,23.550185
1.7214215,7,23.571179
32.867237,68,23.79318
43.01981,93,24.130179
61.13508,121,24.54619
14.813382,26,24.645184
30.884926,44,24.90418
20.01921,46,25.046179
4.02996,8,25.067178
24.60558,41,25.192179
30.546982,50,25.356179
13.892197,31,25.44018
31.161064,56,25.613179
22.97279,42,25.746179
8.435378,20,25.81218
10.849317,28,25.90618
12.751177,36,26.022186
62.455826,91,26.317179
16.505089,29,26.407178
18.348732,54,26.563179
3.61264,14,26.607179
17.71203,39,26.725179
25.273565,46,26.865184
8.98601,19,26.932179
60.594185,108,27.247184
32.703907,62,27.440179
75.467674,128,27.750179
