#{"t_start": 1709025750.377998, "env_id": "None"}
r,l,t
-324.746285,10,3.386042
-1175.088865,10,3.406041
-4254.253269,10,3.428041
-3131.159218,10,3.449041
-23223.9225,10,3.47104
-4941.811096,10,3.493041
-1319.118406,10,3.515041
-2390.539247,10,3.537041
-169.960858,10,3.559042
-90299.460349,10,3.581041
-4160.624001,10,3.599041
-1505.711619,10,3.613045
-748.78634,10,3.628042
-53425.368868,10,3.642035
-4169.859476,10,3.656033
-4374.489022,10,3.671041
-2440.554552,10,3.68504
-4718.296944,10,3.700045
-90505.709913,10,3.71304
-3410.897046,10,3.727041
-2346.889491,10,3.740043
-1723.226992,10,3.75404
-2075.392679,10,3.76704
-43805.449165,10,3.78104
-2680.031663,10,3.79504
-2859.012475,10,3.808043
-3390.00197,10,3.822044
-1869.253394,10,3.83604
-32576.850565,10,3.850045
-2434.795272,10,3.863042
-13633.891206,10,3.87704
-3695.380145,10,3.890041
-2194.262735,10,3.90404
-789.527133,10,3.91704
-1647.573063,10,3.93104
-2418.006111,10,3.94404
-13537.504202,10,3.95804
-61985.409763,10,3.97104
-1715.956796,10,3.985039
-100000.0,10,3.998039
-100000.0,10,4.01104
-81083.952755,10,4.025036
-2832.873433,10,4.039039
-33946.19699,10,4.052041
-33818.635207,10,4.066039
-390.543695,10,4.079039
-33103.600297,10,4.093041
-3758.923042,10,4.106039
-2442.862289,10,4.119039
-6260.469602,10,4.133039
-5735.333164,10,4.147039
-3494.179898,10,4.176039
-13094.426454,10,4.19304
-2123.419224,10,4.209033
-3227.356246,10,4.226032
-22365.820421,10,4.243041
-3530.731762,10,4.260041
-1385.15788,10,4.276032
-2092.38881,10,4.293039
-100000.0,10,4.309031
-2820.413868,10,4.325041
-2591.148836,10,4.342041
-3942.258911,10,4.358041
-3051.01596,10,4.374039
-4395.888005,10,4.389039
-2344.014674,10,4.404039
-4552.912546,10,4.418039
-1145.6272,10,4.432041
-80375.219903,10,4.446041
-90241.846107,10,4.459039
-165.22345,10,4.473038
-550.07012,10,4.487038
-6311.559698,10,4.501038
-3395.919629,10,4.515038
-1942.226455,10,4.528039
-4141.493438,10,4.542042
-4629.348508,10,4.556038
-7086.31098,10,4.570042
-3356.84971,10,4.584038
-34492.876848,10,4.598041
-24392.258841,10,4.612039
-1475.650385,10,4.626031
-90379.065826,10,4.639038
-2559.620676,10,4.653038
-1985.025212,10,4.667038
-71508.083375,10,4.681038
-580.458465,10,4.695031
-3811.172436,10,4.708038
-1493.647257,10,4.72203
-52491.759268,10,4.736038
-3064.829283,10,4.750041
-886.31085,10,4.764039
-70649.358045,10,4.778035
-3422.11668,10,4.79204
-3524.170305,10,4.806037
-1513.003558,10,4.819038
-3213.054236,10,4.834038
-2379.771634,10,4.849038
-4928.058912,10,4.86303
-3877.919347,10,4.878035
-4208.020407,10,4.892051
-1667.766482,10,4.906033
-654.321969,10,4.933089
-3316.213994,10,4.947038
-4019.422295,10,4.961038
-1450.107802,10,4.974037
-3684.925208,10,4.988037
-3025.580468,10,5.002037
-5994.176098,10,5.016037
-71590.263983,10,5.029037
-4213.154151,10,5.043038
-2985.236071,10,5.057037
-4714.811271,10,5.071037
-1637.363832,10,5.085037
-42809.473792,10,5.098037
-12808.200964,10,5.112038
-72390.570975,10,5.12503
-3269.0894,10,5.139037
-1498.807341,10,5.153037
-4744.91991,10,5.168037
-4758.500125,10,5.181037
-4138.53085,10,5.195034
-2496.078681,10,5.209038
-4093.907924,10,5.223036
-1697.005094,10,5.240038
-1660.127868,10,5.258037
-100000.0,10,5.274037
-80939.762806,10,5.291038
-90498.85406,10,5.307039
-3736.830575,10,5.324039
-1859.248313,10,5.340039
-81187.822921,10,5.356038
-4184.363292,10,5.373036
-1388.315312,10,5.389036
-3992.631297,10,5.406036
-2834.116838,10,5.422037
-80838.809485,10,5.439036
-4055.815242,10,5.455036
-4169.996775,10,5.472037
-4398.08682,10,5.488036
-100000.0,10,5.505036
-3051.25217,10,5.522038
-1321.718845,10,5.538036
-2676.371953,10,5.555036
-15098.254541,10,5.57203
-61461.035702,10,5.589028
-2885.920027,10,5.607039
-2101.62311,10,5.624036
-1492.660291,10,5.640039
