#{"t_start": 1709071840.7191947, "env_id": "None"}
r,l,t
-10054.636,8,0.053092
-10046.018,4,0.066997
-10050.268,5,0.082997
-10000.0,1,0.087997
-10000.0,1,0.092996
-10044.402,3,0.101995
-10084.42,6,0.119995
-10045.6,8,0.148997
-10000.0,1,0.153005
-10012.917,2,0.158996
-10015.305,3,0.165999
-10062.94,4,0.174998
-10054.6455,5,0.184996
-10066.781,6,0.196996
-10038.944,3,0.203996
-10000.0,1,0.206003
-10046.436,3,0.211003
-10000.0,1,0.213003
-10024.491,2,0.216997
-10013.1455,2,0.221002
-10041.188,4,0.227002
-10035.099,5,0.237084
-10000.0,1,0.239075
-10000.0,1,0.241071
-10031.708,3,0.246009
-10000.0,1,0.248006
-10000.0,1,0.250009
-10000.0,1,0.252012
-10033.9,3,0.257003
-10043.974,3,0.261003
-10000.0,1,0.263003
-10000.0,1,0.265006
-10015.55,2,0.269003
-10032.901,6,0.278003
-10056.098,4,0.285003
-10023.368,2,0.288003
-10061.914,4,0.294005
-10039.751,3,0.299004
-10000.0,1,0.301003
-10035.704,3,0.306003
-10014.557,2,0.309004
-10031.839,4,0.316001
-10044.627,4,0.322005
-10022.04,2,0.325004
-10000.0,1,0.327003
-10049.196,4,0.334005
-10017.002,2,0.337003
-10026.078,3,0.342007
-10020.448,4,0.349006
-10025.047,2,0.353005
-10000.0,1,0.354999
-10019.649,5,0.363003
-10040.848,3,0.368003
-10035.9,3,0.373003
-10058.929,5,0.381006
-10032.327,3,0.387003
-10019.459,2,0.390003
-10051.791,6,0.400003
-10000.0,1,0.401003
-10046.182,5,0.409003
-10019.486,2,0.412004
-10018.952,2,0.416008
-10089.695,5,0.425003
-10044.343,3,0.429003
-10000.0,1,0.430997
-10011.116,2,0.435008
-10000.0,1,0.437004
-10064.525,5,0.445003
-10000.0,1,0.447004
-10000.0,1,0.449004
-10021.979,2,0.453004
-10019.892,3,0.458996
-10032.636,3,0.465003
-10000.0,1,0.467002
-10018.206,3,0.473005
-10000.0,1,0.475004
-10110.1875,7,0.490005
-10000.0,1,0.492002
-10015.507,2,0.495997
-10072.859,10,0.515997
-10000.0,1,0.518005
-10000.0,1,0.519999
-10000.0,1,0.522012
-10000.0,1,0.524006
-10020.955,2,0.528004
-10018.639,2,0.532026
-10000.0,1,0.534005
-10017.779,2,0.537997
-10062.681,5,0.545996
-10018.597,2,0.549999
-10010.048,4,0.558997
-10018.554,2,0.563004
-10045.45,4,0.570997
-10041.394,3,0.577004
-10037.077,4,0.584997
-10057.599,6,0.596996
-10058.556,4,0.607997
-10078.88,6,0.620998
-10000.0,1,0.624013
-10000.0,1,0.625996
-10000.0,1,0.627997
-10000.0,1,0.629009
-10044.157,4,0.638999
-10068.431,8,0.655998
-10037.6455,4,0.663995
-10000.0,1,0.665998
-10045.105,3,0.671998
-10000.0,1,0.674003
-10011.771,2,0.678004
-10000.0,1,0.680003
-10035.687,3,0.687008
-10021.48,2,0.691003
-10000.0,1,0.693003
-10113.086,7,0.708009
-10000.0,1,0.710005
-10014.783,2,0.713004
-10019.853,2,0.717998
-10000.0,1,0.719997
-10000.0,1,0.721997
-10000.0,1,0.724013
-10024.691,2,0.728004
-10000.0,1,0.729003
-10063.27,5,0.740008
-10062.007,4,0.747003
-10000.0,1,0.749011
-10000.0,1,0.750997
-10000.0,1,0.752997
-10037.523,3,0.758997
-10050.35,3,0.765006
-10057.574,4,0.772997
-10000.0,1,0.775004
-10039.266,4,0.782997
-10009.901,2,0.786997
-10102.03,8,0.804998
-10058.363,4,0.812004
-10029.947,3,0.819005
-10000.0,1,0.821003
-10000.0,1,0.823
-10016.826,2,0.826998
-10038.485,4,0.834998
-10000.0,1,0.837996
-10019.101,2,0.842005
-10022.675,2,0.844996
-10000.0,1,0.847003
-10000.0,1,0.848999
-10073.692,5,0.859005
-10045.59,4,0.867004
-10016.638,2,0.870996
-10000.0,1,0.872997
-10000.0,1,0.874997
-10017.394,2,0.879003
-10000.0,1,0.880997
-10019.749,2,0.885
-10000.0,1,0.886997
-10000.0,1,0.889
-10000.0,1,0.890997
-10057.234,7,0.904995
-10000.0,1,0.906996
-10026.115,2,0.910998
-10052.612,4,0.919
-10000.0,1,0.920997
-10018.843,2,0.924004
-10053.264,4,0.932017
-10062.162,4,0.939998
-10000.0,1,0.942006
-10045.85,4,0.949997
-10029.314,4,0.958005
-10036.748,4,0.965005
-10000.0,1,0.967999
-10071.609,6,0.980003
-10045.504,3,0.986007
-10020.286,2,0.99
-10022.954,2,0.994005
-10035.267,3,1.000006
-10045.518,3,1.006998
-10025.639,2,1.011004
-10042.598,5,1.020996
-10020.343,3,1.025997
-10023.1045,2,1.028996
-10066.529,5,1.040086
-10022.78,4,1.048997
-10057.723,4,1.059997
-10000.0,1,1.061996
-10079.464,6,1.075996
-10000.0,1,1.077996
-10092.328,7,1.096005
-10000.0,1,1.100005
-10000.0,1,1.103002
-10065.727,5,1.115997
-10060.898,4,1.125002
-10000.0,1,1.127002
-10044.962,4,1.135996
-10000.0,1,1.137998
-10014.458,3,1.143009
-10000.0,1,1.144997
-10021.961,2,1.148997
-10000.0,1,1.151
-10015.665,2,1.154997
-10000.0,1,1.156007
-10000.0,1,1.158004
-10018.9795,2,1.162004
-10006.121,2,1.166006
-10076.832,6,1.176996
-10020.157,2,1.179996
-10040.139,3,1.186006
-10018.545,2,1.188997
-10000.0,1,1.191005
-10037.313,3,1.196005
-10000.0,1,1.198009
-10044.888,4,1.205004
-10028.789,3,1.210007
-10022.809,2,1.213998
-10023.823,2,1.216995
-10000.0,1,1.218998
-10057.525,6,1.229003
-10041.323,3,1.235002
-10024.788,3,1.240003
-10000.0,1,1.241007
-10024.278,2,1.245003
-10036.404,4,1.252008
-10000.0,1,1.254004
-10030.746,3,1.259011
-10013.931,2,1.263008
-10021.043,2,1.267996
-10070.71,5,1.277004
-10014.323,2,1.280003
-10026.925,4,1.287996
-10047.623,3,1.293996
-10016.91,2,1.297004
-10000.0,1,1.299006
-10000.0,1,1.301055
-10091.595,8,1.315007
-10022.901,2,1.318003
-10000.0,1,1.320003
-10000.0,1,1.322006
-10019.757,2,1.324996
-10047.494,4,1.331997
-10028.879,3,1.336997
-10034.297,3,1.342996
-10019.542,2,1.346005
-10028.53,3,1.352006
-10021.49,2,1.355003
-10067.674,4,1.361996
-10016.288,2,1.365997
-10062.644,7,1.378003
-10000.0,1,1.380003
-10048.188,5,1.389003
-10061.876,5,1.397005
-10052.282,4,1.404996
-10022.807,2,1.407997
-10017.199,2,1.411003
-10026.124,5,1.419997
-10000.0,1,1.422005
-10019.29,2,1.425996
-10032.634,3,1.430997
-10039.907,4,1.437997
-10048.198,4,1.444005
-10024.327,2,1.447006
-10098.982,8,1.461007
-10078.114,5,1.473006
-10024.472,2,1.475998
-10035.889,3,1.482996
-10027.518,3,1.488996
-10000.0,1,1.490998
-10023.419,2,1.495001
-10037.045,3,1.502001
-10024.756,3,1.507
-10000.0,1,1.509
-10000.0,1,1.510998
-10000.0,1,1.513
-10000.0,1,1.515026
-10031.068,3,1.521
-10000.0,1,1.522999
-10023.757,2,1.526
-10114.474,8,1.542003
-10042.355,3,1.546999
-10014.49,2,1.551
-10018.057,2,1.554999
-10000.0,1,1.557001
-10023.154,2,1.559999
-10009.946,2,1.562999
-10000.0,1,1.566031
-10088.978,10,1.584002
-10000.0,1,1.586001
-10021.572,3,1.591
-10071.558,6,1.602001
-10059.17,5,1.61
-10043.702,3,1.616001
-10000.0,1,1.617999
-10021.916,2,1.620999
-10015.813,2,1.625
-10039.349,4,1.632027
-10015.298,2,1.635999
-10000.0,1,1.637999
-10020.124,3,1.642999
-10000.0,1,1.644001
-10000.0,1,1.645998
-10007.307,3,1.650999
-10023.453,2,1.654999
-10014.059,2,1.657999
-10045.492,4,1.665028
-10000.0,1,1.667
-10023.29,2,1.671002
-10000.0,1,1.673
-10073.389,6,1.683001
-10025.601,2,1.687
-10019.6045,2,1.691
-10029.454,3,1.695999
-10015.006,2,1.7
-10000.0,1,1.702001
-10021.737,2,1.704999
-10052.695,4,1.712001
-10000.0,1,1.714015
-10021.986,2,1.717999
-10038.149,9,1.734002
-10048.57,5,1.742001
-10039.915,4,1.750014
-10000.0,1,1.752002
-10061.24,4,1.758999
-10000.0,1,1.760999
-10018.5,2,1.764011
-10046.743,6,1.774
-10048.575,4,1.781
-10058.936,4,1.787999
-10000.0,1,1.789999
-10000.0,1,1.790999
-10000.0,1,1.792999
-10000.0,1,1.794
-10052.183,6,1.806
-10065.538,10,1.824001
-10014.874,2,1.827997
-10087.105,7,1.839999
-10000.0,1,1.842
-10000.0,1,1.842999
-10020.878,2,1.846999
-10000.0,1,1.849028
-10025.043,2,1.852999
-10060.147,6,1.862999
-10019.774,2,1.867
-10052.69,4,1.872999
-10061.907,4,1.879999
-10026.609,3,1.885999
-10076.085,7,1.896999
-10065.969,9,1.913
-10039.063,3,1.918999
-10062.016,4,1.926
-10077.4795,7,1.939
-10051.062,6,1.95
-10000.0,1,1.952001
-10014.137,2,1.954999
-10000.0,1,1.957
-10020.353,3,1.962001
-10113.027,7,1.974001
-10064.502,7,1.987
-10022.448,2,1.989999
-10061.028,5,2.000005
-10000.0,1,2.002086
-10039.824,3,2.011996
-10047.631,9,2.030999
-10040.09,3,2.037066
-10037.571,4,2.045073
-10037.362,3,2.05207
-10015.821,3,2.058078
-10048.093,3,2.066005
-10000.0,1,2.068003
-10037.854,3,2.072998
-10000.0,1,2.074006
-10000.0,1,2.076003
-10067.33,7,2.089003
-10026.591,5,2.097996
-10037.914,3,2.104006
-10018.586,2,2.107003
-10061.274,6,2.119004
-10019.644,2,2.123997
-10000.0,1,2.126004
-10032.088,3,2.132019
-10000.0,1,2.134007
-10046.731,10,2.150004
-10017.309,2,2.153003
-10045.62,7,2.166003
-10075.925,7,2.178012
-10000.0,1,2.180003
-10024.064,2,2.185003
-10017.643,2,2.189003
-10000.0,1,2.191003
-10047.174,4,2.200003
-10000.0,1,2.202014
-10019.122,2,2.206003
-10022.993,3,2.212005
-10000.0,1,2.214001
-10000.0,1,2.216
-10016.441,2,2.22
-10019.081,2,2.222999
-10017.305,2,2.226
-10045.365,5,2.234999
-10036.147,3,2.239998
-10017.38,2,2.242999
-10031.085,3,2.248028
-10000.0,1,2.249999
-10017.826,2,2.252998
-10044.293,3,2.257999
-10050.933,4,2.263999
-10020.077,3,2.269999
-10000.0,1,2.270999
-10000.0,1,2.272999
-10034.98,3,2.276998
-10019.368,2,2.279999
-10021.79,2,2.284
-10000.0,1,2.285998
-10000.0,1,2.286998
