#{"t_start": 1713291736.0032778, "env_id": "None"}
r,l,t
906.252379,377,55.845366
1365.432663,327,56.826366
749.453565,368,57.870367
1275.435903,327,58.915361
580.408716,387,60.044361
911.095231,327,61.449366
1572.391128,448,62.677366
428.225404,336,63.73136
992.847709,268,64.573361
186.502405,515,82.183009
-869.259301,108,84.607001
-875.969288,108,85.240001
-671.038736,101,85.858001
-1409.866534,128,86.511001
-596.612838,98,87.160002
-331.727684,122,87.895002
-865.484558,114,88.615001
-347.094694,113,89.294003
-247.277034,111,89.962002
-120.471551,121,90.657002
-178.68931,110,91.385002
-369.475609,94,92.01707
-247.547152,121,92.641015
-195.603175,138,93.369002
-345.87163,105,94.126008
-521.434102,126,94.790011
-583.913652,101,95.487009
-59.10704,125,96.114008
-3.649904,134,96.854003
-326.841774,87,97.580002
-302.361716,100,98.124004
-503.64626,97,98.735008
-492.568171,101,99.293008
-765.54683,125,99.898009
-2327.991885,186,100.715008
-588.400849,110,101.624012
-1033.508491,149,102.300008
-536.374219,127,103.168004
-922.093697,144,103.946008
-1346.082337,135,104.788008
-242.429003,109,105.493011
-336.19023,139,106.14601
-423.356962,172,107.015002
-1602.440123,214,108.081008
-720.157873,104,109.155008
-865.871923,112,109.796001
-888.617365,163,110.543001
-552.579123,99,111.382003
-631.195526,121,111.998001
-787.911524,156,112.749674
-937.691692,119,113.583674
-1146.049952,179,114.361671
-595.824706,395,115.829674
-510.541074,100,117.587668
755.887507,627,119.245668
-630.099801,99,122.021667
-1156.519525,205,122.82667
-1042.492317,119,123.959677
-1276.916776,167,124.751668
-672.853271,102,125.608669
-1157.988213,124,126.259669
-1082.859223,119,126.995669
-2502.311986,206,127.846674
-626.40698,140,128.889674
-719.757114,139,129.705674
-786.703532,197,130.573668
-1104.527528,127,131.616674
-1208.906791,247,132.648666
-1411.58977,152,133.955668
-2581.952128,236,134.981667
-680.989804,137,136.16767
-629.336318,99,136.923671
-1075.186361,208,137.697668
-717.71956,140,138.839669
-5076.830089,696,140.822668
-654.883951,184,144.068672
-675.37768,107,145.037677
