#{"t_start": 1709111915.0203152, "env_id": "None"}
r,l,t
-0.617949,7,3.811754
-0.35,1,3.81973
-0.707813,6,3.857743
-0.483143,3,3.875733
-0.439274,4,3.90173
-0.35,1,3.908729
-0.35,1,3.91473
-0.41436,2,3.927729
-0.429841,3,3.94773
-0.422922,3,3.960743
-0.35,1,3.962749
-0.548232,5,3.973755
-0.645692,11,3.994731
-0.51996,6,4.005731
-0.563557,7,4.018744
-0.378495,2,4.024739
-0.35,1,4.026745
-0.471236,3,4.032732
-0.410386,2,4.036758
-0.459438,4,4.044739
-0.468975,2,4.048734
-0.376181,2,4.05275
-0.35,1,4.055732
-0.565275,6,4.067738
-0.429042,3,4.074733
-0.405333,2,4.079732
-0.403671,3,4.087733
-0.410995,5,4.098731
-0.371269,2,4.102848
-0.35,1,4.104748
-0.35,1,4.106731
-0.400005,2,4.110732
-0.35,1,4.112732
-0.542679,4,4.122734
-0.568494,3,4.132732
-0.815291,7,4.147746
-0.505694,4,4.155733
-0.836876,10,4.173733
-0.503734,3,4.178746
-0.403732,3,4.18474
-0.361627,2,4.187732
-0.35,1,4.189732
-0.35,1,4.191752
-0.424061,3,4.196732
-0.354517,2,4.200744
-0.385887,3,4.204733
-0.35,1,4.206733
-0.414628,5,4.215733
-0.423715,2,4.218733
-0.369637,2,4.221732
-0.67842,6,4.232732
-0.378394,3,4.237732
-0.426629,4,4.244733
-0.371095,2,4.247733
-0.543487,6,4.257739
-0.35,1,4.259733
-0.679622,4,4.266733
-0.40481,2,4.270732
-0.587632,3,4.275733
-0.357873,2,4.278739
-0.35,1,4.280733
-0.546424,5,4.288733
-0.614243,7,4.300744
-0.780694,7,4.314733
-0.447688,3,4.319734
-0.35,1,4.321734
-0.458298,5,4.329738
-0.401949,2,4.332733
-0.35,1,4.334733
-0.534169,8,4.349748
-0.377521,3,4.355733
-0.423409,3,4.360733
-0.720344,6,4.374734
-0.354849,2,4.377745
-0.46215,2,4.381735
-0.499063,4,4.389742
-0.418217,2,4.393734
-0.356814,2,4.397741
-0.35,1,4.399735
-0.470958,2,4.402734
-0.51241,4,4.409746
-0.35,1,4.410734
-0.465622,3,4.416734
-0.36065,3,4.421734
-0.35,1,4.422734
-0.35,1,4.424734
-0.408917,2,4.427746
-0.401811,4,4.434734
-0.35,1,4.436746
-0.727519,5,4.444752
-0.716908,11,4.463733
-0.448902,3,4.468735
-0.388295,3,4.473735
-0.35,1,4.475734
-0.521655,3,4.479734
-0.363145,3,4.485734
-0.548425,6,4.494735
-0.623432,5,4.503735
-0.370934,2,4.506734
-0.50413,8,4.519735
-0.399767,2,4.522735
-0.712945,8,4.535735
-0.374316,3,4.539735
-0.389954,5,4.548735
-0.589663,7,4.559735
-0.410338,3,4.565735
-0.525983,5,4.573754
-0.39264,2,4.576735
-0.412854,3,4.583735
-0.404777,2,4.586735
-0.35,1,4.587735
-0.402399,2,4.591735
-0.54288,4,4.598736
-0.535602,6,4.608735
-0.586242,5,4.618736
-0.769987,6,4.628736
-0.409531,4,4.635736
-0.441642,4,4.641735
-0.432528,2,4.645736
-0.35,1,4.647737
-0.875484,7,4.659736
-0.398242,5,4.668736
-0.427696,4,4.674736
-0.35,1,4.676736
-0.573582,6,4.687736
-0.648385,7,4.698736
-0.416623,2,4.702736
-0.366241,3,4.707736
-0.381227,3,4.712736
-0.656191,4,4.720736
-0.47386,4,4.727736
-0.410095,3,4.733742
-0.586326,7,4.747746
