#{"t_start": 1709066150.362886, "env_id": "None"}
r,l,t
-10056.728,4,6.999268
-10019.023,3,7.006268
-10000.0,1,7.009268
-10000.0,1,7.012267
-10000.0,1,7.014268
-10013.16,2,7.019268
-10043.0205,3,7.028269
-10056.015,6,7.045269
-10079.105,6,7.060267
-10028.772,4,7.070267
-10037.252,3,7.077268
-10000.0,1,7.079268
-10023.797,2,7.084268
-10047.429,3,7.092268
-10000.0,1,7.094268
-10000.0,1,7.097268
-10000.0,1,7.100268
-10050.928,4,7.109268
-10038.418,3,7.117268
-10054.706,6,7.131268
-10056.37,4,7.142268
-10018.42,2,7.147267
-10020.248,2,7.152267
-10000.0,1,7.154267
-10025.374,2,7.159268
-10098.078,6,7.174291
-10041.616,3,7.182267
-10065.2705,4,7.192268
-10054.206,8,7.211267
-10040.718,3,7.218268
-10019.583,2,7.224269
-10000.0,1,7.227268
-10021.473,2,7.234274
-10037.753,4,7.246267
-10000.0,1,7.249269
-10032.355,3,7.257283
-10060.335,5,7.270269
-10000.0,1,7.274283
-10025.039,3,7.282274
-10000.0,1,7.284274
-10042.598,3,7.29228
-10049.091,4,7.300268
-10000.0,1,7.303267
-10065.764,5,7.315279
-10019.888,2,7.322268
-10044.655,4,7.331268
-10000.0,1,7.333279
-10031.75,3,7.340267
-10102.903,8,7.359267
-10061.989,6,7.373268
-10033.722,3,7.381269
-10019.061,3,7.387267
-10018.892,2,7.392268
-10000.0,1,7.395268
-10074.492,5,7.406271
-10013.791,2,7.410267
-10022.628,2,7.415268
-10032.441,3,7.422269
-10026.385,3,7.429267
-10044.358,3,7.436268
-10061.568,5,7.449268
-10000.0,1,7.451267
-10000.0,1,7.453268
-10018.291,2,7.458268
-10034.301,3,7.465268
-10000.0,1,7.467268
-10025.856,2,7.472269
-10027.573,3,7.479269
-10000.0,1,7.481268
-10024.211,2,7.487279
-10060.232,7,7.505269
-10064.538,8,7.526268
-10014.62,2,7.531269
-10000.0,1,7.533277
-10042.99,3,7.541269
-10101.923,10,7.566285
-10087.929,8,7.588268
-10040.84,4,7.599269
-10028.835,3,7.607269
-10049.551,6,7.623268
-10012.109,2,7.628273
-10018.633,2,7.633286
-10017.956,2,7.638269
-10058.703,6,7.653268
-10047.264,3,7.660269
-10022.108,2,7.664268
-10039.685,3,7.671273
-10014.14,2,7.67628
-10051.73,4,7.685269
-10040.387,5,7.697268
-10032.951,6,7.712272
-10028.053,5,7.72227
-10104.19,7,7.738268
-10000.0,1,7.741363
-10047.686,3,7.747269
-10043.48,7,7.765268
-10036.236,3,7.774268
-10000.0,1,7.776268
-10040.159,4,7.787269
-10023.6,2,7.793268
-10028.104,3,7.801267
-10045.363,4,7.813274
-10019.801,2,7.819268
-10030.484,5,7.833267
-10052.409,5,7.848278
-10000.0,1,7.851268
-10000.0,1,7.854278
-10006.598,2,7.860268
-10062.335,5,7.871267
-10030.087,3,7.879273
-10000.0,1,7.881269
-10083.284,6,7.89627
-10032.115,3,7.902267
-10000.0,1,7.905267
-10000.0,1,7.90829
-10022.149,3,7.915281
-10015.074,2,7.920267
-10027.238,3,7.927279
-10036.8125,3,7.934267
-10000.0,1,7.936269
-10016.598,2,7.942268
-10036.341,3,7.948268
-10059.336,5,7.959268
-10033.807,3,7.966269
-10019.152,2,7.971288
-10044.345,3,7.978268
-10015.222,4,7.988268
-10000.0,1,7.990268
-10000.0,1,7.993268
-10015.757,2,7.997267
-10019.516,2,8.001279
-10018.157,2,8.006268
-10055.235,4,8.015273
-10017.851,2,8.020268
-10067.692,5,8.032268
-10090.309,7,8.049268
-10020.1455,2,8.054268
-10011.291,2,8.060268
-10000.0,1,8.062268
-10079.121,6,8.077268
-10020.211,2,8.082268
-10000.0,1,8.085269
-10000.0,1,8.087268
-10041.427,3,8.094268
-10040.171,4,8.103273
-10022.335,2,8.108268
-10000.0,1,8.110269
-10065.955,8,8.130281
-10000.0,1,8.132267
-10000.0,1,8.135267
-10063.328,6,8.149268
-10019.896,2,8.15327
-10017.674,2,8.158268
-10056.831,5,8.169278
-10028.852,3,8.176269
-10000.0,1,8.178269
-10071.185,5,8.188268
-10062.169,5,8.199268
-10037.004,3,8.205268
-10022.676,2,8.211268
-10000.0,1,8.213266
-10000.0,1,8.215267
-10052.958,6,8.229268
-10000.0,1,8.231286
-10000.0,1,8.234267
-10058.867,4,8.243268
-10095.267,8,8.262268
-10000.0,1,8.264267
-10069.323,6,8.278274
-10067.011,7,8.295268
-10088.245,6,8.310267
-10024.127,4,8.319269
-10030.464,3,8.326269
-10068.32,5,8.338268
-10050.241,4,8.348268
-10054.269,4,8.356267
-10012.791,2,8.361268
-10000.0,1,8.36428
-10049.948,4,8.372268
-10022.678,3,8.380267
-10000.0,1,8.383267
-10000.0,1,8.385268
-10013.008,2,8.389267
-10030.221,3,8.397267
-10021.323,2,8.401267
-10053.089,5,8.413268
-10042.667,3,8.420268
-10076.189,6,8.435279
-10042.329,4,8.444274
-10000.0,1,8.447267
-10000.0,1,8.449268
-10013.653,2,8.454268
-10000.0,1,8.456268
-10000.0,1,8.459278
-10016.549,2,8.463268
-10000.0,1,8.465266
-10024.693,2,8.470268
-10000.0,1,8.472268
-10014.638,2,8.477268
-10065.553,6,8.49129
-10048.331,5,8.50327
-10000.0,1,8.505267
-10030.837,3,8.512268
-10031.34,3,8.519267
-10000.0,1,8.521269
-10023.546,2,8.527267
-10046.473,4,8.536268
-10022.717,2,8.541269
-10062.903,6,8.554267
-10013.729,2,8.560268
-10070.787,6,8.57429
-10039.886,3,8.582268
-10014.767,2,8.586267
-10019.479,2,8.591268
-10000.0,1,8.593268
-10034.664,3,8.600267
-10018.061,2,8.604268
-10038.432,6,8.619278
-10018.6,2,8.624269
-10085.588,8,8.643272
-10000.0,1,8.645271
-10000.0,1,8.648268
-10000.0,1,8.651268
-10000.0,1,8.653268
-10013.4375,2,8.658269
-10034.819,3,8.666268
-10073.172,5,8.678286
-10088.045,8,8.698268
-10047.591,4,8.70827
-10000.0,1,8.710268
-10025.516,2,8.715267
-10019.846,2,8.719268
-10017.09,2,8.724269
-10035.468,6,8.736278
-10000.0,1,8.739268
-10000.0,1,8.742268
-10020.391,2,8.746268
-10000.0,1,8.748268
-10052.291,4,8.756268
-10000.0,1,8.759269
-10000.0,1,8.761269
-10043.482,6,8.774269
-10023.257,2,8.779269
-10000.0,1,8.782268
-10000.0,1,8.786268
-10043.356,4,8.797268
-10035.418,3,8.804269
-10000.0,1,8.806271
-10016.628,2,8.811268
-10017.429,2,8.815268
-10018.581,2,8.819268
-10000.0,1,8.820268
-10068.174,5,8.830267
-10017.819,2,8.834269
-10000.0,1,8.836268
-10044.614,4,8.844267
-10007.72,2,8.849267
-10000.0,1,8.850269
-10000.0,1,8.852268
-10014.178,2,8.856268
-10081.32,6,8.869268
-10000.0,1,8.871271
-10000.0,1,8.873268
-10000.0,1,8.876268
-10000.0,1,8.877269
-10041.831,3,8.884268
-10020.503,2,8.888268
-10000.0,1,8.890267
-10000.0,1,8.892269
-10000.0,1,8.894279
-10078.15,7,8.909267
-10104.224,8,8.927268
-10022.093,2,8.93228
-10060.134,5,8.945267
-10059.593,4,8.954269
-10060.447,4,8.964268
-10053.086,5,8.97827
-10058.043,4,8.99227
-10085.349,6,9.00827
-10000.0,1,9.010268
-10024.136,2,9.014274
-10000.0,1,9.016273
-10000.0,1,9.019269
-10000.0,1,9.022269
-10023.117,3,9.029268
-10000.0,1,9.032268
-10041.468,4,9.041267
-10038.9,4,9.051268
-10020.84,2,9.055268
-10000.0,1,9.05928
-10035.77,3,9.065268
-10044.832,3,9.073268
-10040.504,5,9.085268
-10000.0,1,9.087268
-10035.59,3,9.095276
-10077.737,8,9.115268
-10096.62,8,9.134269
-10023.452,2,9.139269
-10000.0,1,9.142269
-10011.179,2,9.146269
-10052.554,3,9.153268
-10000.0,1,9.155277
-10037.179,3,9.162268
-10049.341,4,9.171269
-10000.0,1,9.174269
-10016.361,2,9.179268
-10032.456,3,9.185273
-10089.114,7,9.202268
-10016.23,3,9.210269
-10020.305,2,9.215269
-10037.01,3,9.222267
-10063.954,5,9.235268
-10053.56,4,9.245269
-10061.666,7,9.263269
-10000.0,1,9.264268
-10038.113,4,9.274272
-10000.0,1,9.276269
-10014.599,2,9.281274
-10000.0,1,9.283267
-10000.0,1,9.286268
-10007.8125,2,9.291286
-10041.484,3,9.299287
-10054.016,4,9.310279
-10011.815,2,9.315268
-10016.602,2,9.319269
-10055.559,4,9.329268
-10024.064,2,9.33427
-10065.21,5,9.347268
-10000.0,1,9.349268
-10037.146,3,9.357268
-10016.057,2,9.361274
-10043.465,3,9.368269
-10031.145,3,9.376268
-10022.123,3,9.383268
-10000.0,1,9.385268
-10000.0,1,9.387268
-10038.129,3,9.39427
-10038.147,4,9.404268
-10000.0,1,9.407278
-10000.0,1,9.409269
-10016.597,2,9.414269
-10038.049,3,9.422269
-10060.08,4,9.433269
-10084.819,5,9.445268
-10042.754,4,9.455268
-10080.048,6,9.469269
-10018.777,2,9.475273
-10000.0,1,9.477269
-10000.0,1,9.479268
-10018.5625,2,9.48427
-10000.0,1,9.487269
-10032.094,3,9.494268
-10018.308,2,9.499269
-10000.0,1,9.502268
-10000.0,1,9.504268
-10021.634,2,9.509268
-10000.0,1,9.511268
-10000.0,1,9.515271
-10000.0,1,9.517269
-10009.374,2,9.522268
-10000.0,1,9.52427
-10020.866,2,9.529269
-10026.489,2,9.534268
-10011.208,2,9.538268
-10034.207,3,9.545268
-10006.757,2,9.550268
-10058.504,4,9.559268
-10000.0,1,9.561273
-10020.88,2,9.566267
-10000.0,1,9.568268
-10049.414,5,9.580267
-10007.522,3,9.587268
-10000.0,1,9.589268
-10000.0,1,9.592268
-10089.266,7,9.607282
-10022.216,2,9.612275
-10048.17,3,9.620268
-10000.0,1,9.622269
-10000.0,1,9.625268
-10019.561,2,9.629281
-10020.941,2,9.633268
-10013.807,2,9.638268
-10000.0,1,9.641269
-10016.952,2,9.646272
-10014.079,2,9.652269
-10018.364,2,9.658272
-10000.0,1,9.66027
-10039.509,3,9.667271
-10000.0,1,9.669276
-10033.804,8,9.688268
-10025.026,3,9.696268
-10045.38,3,9.702269
-10021.94,2,9.707267
-10000.0,1,9.709278
-10015.537,2,9.71527
-10000.0,1,9.717268
-10057.233,4,9.727268
-10050.626,3,9.736268
-10043.432,4,9.74527
-10000.0,1,9.747273
-10012.315,4,9.757268
-10036.925,4,9.766268
-10000.0,1,9.768269
-10019.883,2,9.773269
-10000.0,1,9.775269
-10012.168,2,9.780268
-10024.204,2,9.784268
-10055.578,5,9.796269
-10015.422,2,9.80127
-10000.0,1,9.80327
-10041.937,4,9.812269
-10000.0,1,9.814269
-10039.156,3,9.82227
-10000.0,1,9.824302
-10020.233,3,9.832274
-10041.452,3,9.839268
-10044.584,4,9.849268
-10020.579,2,9.853273
-10035.128,3,9.860268
-10015.325,2,9.865269
-10036.711,6,9.879267
-10096.057,7,9.896273
-10000.0,1,9.89827
-10000.0,1,9.901269
-10045.511,3,9.907285
-10017.496,2,9.911271
-10000.0,1,9.913271
-10015.966,2,9.918267
-10087.813,9,9.938268
-10024.133,2,9.944275
-10040.037,3,9.951274
-10000.0,1,9.954267
-10019.286,2,9.960268
-10045.98,4,9.970279
-10000.0,1,9.973269
-10063.495,4,9.983269
-10017.926,2,9.988269
-10030.243,4,9.999268
-10000.0,1,10.001269
-10021.062,6,10.019268
-10000.0,1,10.021268
-10019.562,2,10.027268
-10029.19,4,10.04127
-10000.0,1,10.044269
-10021.73,2,10.050268
-10055.607,4,10.060268
-10018.031,2,10.065268
-10000.0,1,10.068268
-10000.0,1,10.071268
-10104.027,7,10.091268
-10061.03,6,10.105268
-10040.731,3,10.112275
-10024.628,4,10.122268
-10063.92,4,10.132268
-10080.345,6,10.148268
-10017.819,2,10.153269
-10000.0,1,10.155279
-10013.123,2,10.160267
-10070.824,5,10.171268
-10000.0,1,10.174268
-10019.935,2,10.179269
-10000.0,1,10.181269
-10077.897,5,10.19327
-10000.0,1,10.196268
-10071.999,5,10.211268
-10000.0,1,10.214271
-10000.0,1,10.217268
-10047.581,4,10.22927
-10106.682,7,10.254267
-10000.0,1,10.260267
-10017.164,2,10.266268
