#{"t_start": 1709072142.2623208, "env_id": "None"}
r,l,t
-10000.0,1,0.028001
-10017.604,2,0.029999
-10033.137,4,0.032
-10000.0,1,0.032
-10000.0,1,0.035
-10043.47,3,0.037
-10018.85,2,0.037999
-10000.0,1,0.038998
-10039.178,3,0.043
-10030.453,3,0.045
-10064.192,4,0.048018
-10000.0,1,0.048018
-10015.732,2,0.050999
-10018.441,2,0.051999
-10028.461,3,0.052998
-10053.501,4,0.056003
-10028.473,3,0.058999
-10000.0,1,0.058999
-10072.847,6,0.061999
-10019.867,2,0.063015
-10021.371,2,0.065999
-10000.0,1,0.065999
-10084.603,6,0.068999
-10050.396,5,0.072
-10062.957,5,0.076
-10076.771,6,0.080001
-10028.942,4,0.083
-10069.478,9,0.089001
-10021.851,3,0.092001
-10050.695,4,0.095
-10044.425,4,0.097
-10074.256,5,0.163999
-10055.423,4,0.265997
-10045.196,8,0.445998
-10000.0,1,0.46
-10061.727,7,0.560998
-10018.609,2,0.591999
-10127.503,9,0.731999
-10060.453,7,0.825998
-10000.0,1,0.840998
-10000.0,1,0.856998
-10039.605,4,0.917998
-10022.576,2,0.950999
-10052.283,5,1.031999
-10000.0,1,1.048998
-10063.507,4,1.116998
-10023.265,2,1.147999
-10000.0,1,1.164998
-10051.173,4,1.234998
-10000.0,1,1.250998
-10048.644,5,1.327
-10000.0,1,1.342999
-10000.0,1,1.361005
-10046.179,5,1.44
-10000.0,1,1.453998
-10013.223,2,1.484998
-10063.606,4,1.552998
-10072.042,6,1.651998
-10028.451,2,1.682999
-10000.0,1,1.697999
-10015.938,2,1.734998
-10036.659,3,1.778999
-10055.472,4,1.839015
-10000.0,1,1.852998
-10036.288,3,1.897999
-10000.0,1,1.913999
-10074.615,5,1.998001
-10016.423,2,2.028001
-10000.0,1,2.048002
-10064.359,5,2.123004
-10000.0,1,2.137001
-10000.0,1,2.153002
-10069.356,6,2.252004
-10040.604,4,2.318002
-10083.408,5,2.398001
-10112.031,7,2.502004
-10000.0,1,2.519003
-10051.08,6,2.618999
-10047.414,5,2.695998
-10028.05,3,2.735998
-10015.413,2,2.766998
-10024.556,2,2.796998
-10113.091,7,2.897998
-10071.39,5,2.969998
-10000.0,1,2.991016
-10064.352,4,3.060004
-10000.0,1,3.079004
-10058.389,5,3.166002
-10000.0,1,3.184999
-10069.557,4,3.249998
-10038.226,7,3.370998
-10020.577,2,3.408998
-10112.394,6,3.505999
-10000.0,1,3.520998
-10062.139,4,3.575998
-10000.0,1,3.590999
-10058.053,5,3.675001
-10057.024,3,3.736998
-10000.0,1,3.758999
-10055.699,5,3.844998
-10000.0,1,3.863998
-10084.502,6,3.962001
-10032.029,4,4.030999
-10032.77,3,4.078998
-10095.486,5,4.164003
-10000.0,1,4.180999
-10077.438,4,4.248999
-10019.199,2,4.285004
-10135.563,8,4.429018
-10059.776,4,4.497765
-10018.565,2,4.533764
-10160.976,8,4.665764
-10069.944,6,4.76978
-10005.197,2,4.800764
-10081.959,6,4.895766
-10058.41,4,4.961768
-10111.052,5,5.046765
-10053.224,7,5.156765
-10044.384,3,5.197764
-10075.124,6,5.286764
-10039.726,4,5.347764
-10045.496,4,5.404764
-10092.654,6,5.487765
-10035.333,3,5.529764
-10072.793,6,5.628764
-10043.96,3,5.668764
-10000.0,1,5.682764
-10055.084,4,5.744764
-10030.592,3,5.801764
-10042.1045,3,5.847764
-10079.594,5,5.927764
-10036.929,3,5.980763
-10110.374,6,6.075764
-10113.844,7,6.175764
-10088.296,6,6.257763
-10078.916,6,6.343764
-10108.743,6,6.433764
-10069.5,7,6.536763
-10137.087,8,6.650764
-10038.5,4,6.706764
-10054.126,5,6.778765
-10000.0,1,6.793764
-10022.08,3,6.833764
-10075.237,5,6.906764
-10000.0,1,6.920764
-10059.076,6,7.013764
-10107.823,7,7.115764
-10061.811,5,7.183763
-10089.497,6,7.267764
-10071.28,5,7.340765
-10020.084,2,7.366764
-10104.283,5,7.440765
-10013.342,2,7.469764
-10072.597,5,7.538768
-10000.0,1,7.551764
-10114.496,7,7.649764
-10052.578,7,7.754764
-10000.0,1,7.770765
-10016.531,2,7.801765
-10043.879,3,7.844764
-10044.449,3,7.886764
-10000.0,1,7.900764
-10092.195,7,8.001764
-10062.37,8,8.108764
-10000.0,1,8.124765
-10117.177,7,8.219764
-10000.0,1,8.233763
-10085.72,6,8.318764
-10080.025,6,8.405763
-10036.528,3,8.447764
-10023.867,2,8.475765
-10067.981,5,8.541764
-10000.0,1,8.557764
-10027.626,3,8.596764
-10029.868,3,8.637764
-10000.0,1,8.650764
-10054.59,7,8.744764
-10078.835,6,8.830764
-10023.279,2,8.861764
-10106.268,6,8.951764
-10000.0,1,8.971764
-10058.465,8,9.095764
-10000.0,1,9.109764
-10113.138,7,9.213763
-10050.462,4,9.275764
-10036.034,4,9.340764
-10069.824,5,9.418764
-10113.55,7,9.525764
-10055.304,6,9.606777
-10032.597,3,9.645763
-10132.52,7,9.739778
-10055.757,4,9.792764
-10107.39,7,9.888763
-10000.0,1,9.901764
-10110.878,7,10.008765
-10077.779,7,10.114765
-10107.316,7,10.215764
-10018.276,2,10.242764
-10000.0,1,10.256774
-10033.167,3,10.296763
-10000.0,1,10.313764
-10070.129,6,10.397764
-10000.0,1,10.411766
-10071.016,5,10.483776
-10045.559,6,10.574775
-10099.241,7,10.677775
-10055.043,5,10.748764
-10123.074,7,10.856776
-10045.159,3,10.903764
-10037.196,4,10.960765
-10065.0205,6,11.048764
-10113.674,6,11.138764
-10000.0,1,11.157764
-10159.915,8,11.263764
-10057.744,4,11.328763
-10071.821,4,11.385764
-10024.195,2,11.418764
-10022.669,2,11.446764
-10061.807,5,11.514764
-10000.0,1,11.528764
-10035.886,3,11.572764
-10058.092,5,11.645775
-10104.914,6,11.73177
-10068.792,5,11.800769
-10129.807,6,11.890764
-10060.119,5,11.969764
-10077.836,7,12.075764
-10024.593,2,12.104764
-10061.6455,4,12.166764
-10000.0,1,12.182764
-10124.036,7,12.284764
-10014.982,2,12.312763
-10155.654,7,12.403764
-10116.732,7,12.497763
-10017.505,2,12.524764
-10028.795,3,12.566764
-10112.028,6,12.650764
-10053.202,5,12.727764
-10130.134,8,12.845763
-10124.934,7,12.951764
-10056.75,4,13.014764
-10027.702,4,13.072764
-10083.356,4,13.133764
-10021.47,2,13.162764
-10000.0,1,13.180763
-10019.572,2,13.211764
-10055.845,4,13.269764
-10025.248,3,13.314764
-10034.773,6,13.405772
-10031.092,5,13.481766
-10043.899,3,13.527767
-10000.0,1,13.541768
-10033.722,4,13.601767
-10016.919,2,13.634767
-10104.943,7,13.741846
-10081.751,6,13.822764
-10062.84,4,13.881764
-10117.019,7,13.980276
-10000.0,1,13.997276
-10065.634,4,14.061276
-10085.806,7,14.173276
-10022.395,2,14.204276
-10059.767,5,14.285276
-10071.696,8,14.414276
-10000.0,1,14.430276
-10076.071,5,14.506279
-10024.246,2,14.538276
-10041.79,3,14.586276
-10000.0,1,14.604276
-10067.19,5,14.689277
-10035.3,5,14.767277
-10091.169,6,14.858276
-10009.322,2,14.890277
-10018.257,2,14.920276
-10007.094,2,14.950276
-10053.637,6,15.048276
-10080.463,6,15.146276
-10132.231,7,15.265637
-10038.377,3,15.313559
-10000.0,1,15.330554
-10000.0,1,15.347566
-10000.0,1,15.363554
-10095.512,7,15.470566
-10106.987,7,15.574565
-10158.708,7,15.676554
-10073.489,6,15.761559
-10099.742,7,15.865554
-10000.0,1,15.880555
-10058.506,7,15.997565
-10060.124,5,16.073563
-10026.353,2,16.101554
-10060.211,4,16.160555
-10027.531,4,16.222554
-10075.404,6,16.312553
-10073.459,4,16.371553
-10015.568,2,16.400554
-10162.502,9,16.533553
-10241.657,14,16.735554
-10084.276,7,16.838571
-10248.719,15,17.062565
