#{"t_start": 1709071621.5749865, "env_id": "None"}
r,l,t
-10034.461,3,0.026988
-10000.0,1,0.02806
-10017.531,2,0.029
-10000.0,1,0.029
-10050.919,5,0.032985
-10014.147,2,0.033985
-10000.0,1,0.033985
-10025.46,3,0.034985
-10023.434,2,0.037995
-10023.175,2,0.037995
-10033.541,3,0.038991
-10022.902,2,0.039991
-10103.617,7,0.043994
-10044.898,4,0.044992
-10045.413,4,0.045997
-10042.548,3,0.046992
-10009.859,2,0.048994
-10038.665,3,0.048994
-10045.291,3,0.049991
-10000.0,1,0.050984
-10076.614,7,0.053983
-10016.637,2,0.054983
-10013.018,2,0.054983
-10000.0,1,0.054983
-10018.128,2,0.057984
-10000.0,1,0.058988
-10018.824,2,0.059984
-10013.305,2,0.060983
-10023.6875,2,0.061983
-10019.2295,2,0.062983
-10000.0,1,0.063983
-10000.0,1,0.063983
-10000.0,1,0.064983
-10094.879,9,0.067983
-10056.99,4,0.068983
-10050.11,4,0.069983
-10071.87,6,0.079983
-10000.0,1,0.139985
-10017.983,2,0.149985
-10040.391,4,0.174998
-10000.0,1,0.215061
-10019.581,2,0.231068
-10026.42,2,0.251993
-10031.106,4,0.278992
-10000.0,1,0.311992
-10000.0,1,0.318992
-10000.0,1,0.329987
-10015.552,2,0.338992
-10063.338,6,0.369986
-10046.296,3,0.416991
-10079.86,7,0.447992
-10016.367,2,0.498996
-10000.0,1,0.518994
-10098.744,6,0.534993
-10000.0,1,0.578988
-10048.62,3,0.585984
-10017.86,2,0.614988
-10053.693,4,0.632993
-10000.0,1,0.660996
-10000.0,1,0.665995
-10000.0,1,0.679991
-10056.28,3,0.687991
-10000.0,1,0.712987
-10068.405,6,0.722991
-10023.387,2,0.771991
-10041.861,5,0.788993
-10000.0,1,0.827
-10027.694,3,0.834991
-10056.227,3,0.864993
-10020.195,2,0.885992
-10000.0,1,0.900985
-10000.0,1,0.910986
-10000.0,1,0.918993
-10000.0,1,0.929997
-10040.433,3,0.936991
-10054.141,6,0.965988
-10000.0,1,1.011985
-10014.679,2,1.018993
-10030.251,3,1.037985
-10027.399,3,1.066986
-10000.0,1,1.092987
-10075.8,5,1.110986
-10019.271,2,1.155984
-10040.563,3,1.173985
-10019.795,2,1.20099
-10000.0,1,1.217001
-10000.0,1,1.223
-10030.75,3,1.235985
-10021.76,2,1.257985
-10072.046,6,1.277995
-10036.596,3,1.322994
-10057.127,4,1.34999
-10000.0,1,1.381985
-10019.807,2,1.39
-10084.497,5,1.407984
-10000.0,1,1.445998
-10075.748,6,1.455991
-10000.0,1,1.498991
-10016.683,3,1.510005
-10069.7705,4,1.529991
-10075.087,6,1.559996
-10000.0,1,1.599991
-10000.0,1,1.609992
-10040.29,3,1.616992
-10037.344,3,1.642993
-10031.08,3,1.661991
-10000.0,1,1.686999
-10020.57,2,1.692988
-10000.0,1,1.708987
-10056.399,5,1.722996
-10000.0,1,1.752992
-10040.892,4,1.765984
-10024.311,2,1.796985
-10079.2295,5,1.815991
-10000.0,1,1.84499
-10000.0,1,1.854989
-10020.507,2,1.862992
-10051.98,5,1.878984
-10000.0,1,1.913991
-10021.966,2,1.918991
-10012.114,4,1.937991
-10026.17,3,1.964992
-10036.413,3,1.989991
-10012.105,2,2.008986
-10000.0,1,2.021992
-10022.29,2,2.031991
-10000.0,1,2.045998
-10000.0,1,2.049991
-10053.845,3,2.062985
-10022.57,2,2.080992
-10022.95,2,2.097991
-10017.834,3,2.112991
-10059.839,4,2.146992
-10000.0,1,2.177064
-10037.538,4,2.185045
-10000.0,1,2.210992
-10050.89,7,2.226999
-10000.0,1,2.267994
-10000.0,1,2.278998
-10018.615,2,2.285991
-10024.014,4,2.304991
-10039.304,3,2.331991
-10042.754,3,2.354992
-10019.57,2,2.374998
-10039.662,4,2.391984
-10000.0,1,2.417991
-10000.0,1,2.426991
-10000.0,1,2.431991
-10000.0,1,2.443997
-10044.662,3,2.449991
-10067.431,4,2.471991
-10050.098,4,2.497994
-10037.556,3,2.527996
-10043.503,5,2.546991
-10000.0,1,2.578992
-10000.0,1,2.582992
-10011.22,2,2.596991
-10050.395,4,2.614991
-10050.731,6,2.648984
-10082.005,6,2.695992
-10026.381,2,2.744992
-10042.393,4,2.762992
-10036.64,3,2.791995
-10000.0,1,2.808985
-10000.0,1,2.819991
-10000.0,1,2.823991
-10000.0,1,2.833997
-10045.05,4,2.843992
-10000.0,1,2.873992
-10041.74,5,2.886991
-10070.288,4,2.918991
-10000.0,1,2.946058
-10018.642,2,2.957996
-10000.0,1,2.972068
-10045.037,4,2.980068
-10000.0,1,3.006984
-10000.0,1,3.018991
-10015.663,2,3.024985
-10035.942,3,3.039984
-10042.344,4,3.067984
-10042.79,4,3.097069
-10031.349,3,3.124988
-10000.0,1,3.142993
-10076.3,6,3.15699
-10000.0,1,3.199992
-10000.0,1,3.204992
-10000.0,1,3.213991
-10000.0,1,3.218994
-10000.0,1,3.230991
-10046.453,5,3.238992
-10031.109,5,3.278992
-10021.046,2,3.310991
-10074.227,6,3.329992
-10000.0,1,3.369991
-10055.929,6,3.382991
-10000.0,1,3.418995
-10000.0,1,3.427995
-10044.717,3,3.438991
-10064.323,5,3.461992
-10000.0,1,3.500997
-10022.108,2,3.509992
-10025.277,2,3.522985
-10000.0,1,3.538984
-10000.0,1,3.548985
-10047.082,3,3.557985
-10068.433,5,3.586985
-10037.041,3,3.622065
-10000.0,1,3.645991
-10021.469,2,3.654991
-10059.719,4,3.670991
-10049.896,4,3.697985
-10000.0,1,3.722991
-10000.0,1,3.733991
-10035.644,3,3.739991
-10038.417,3,3.761992
-10018.758,2,3.779991
-10057.016,4,3.797995
-10031.82,3,3.822991
-10021.37,2,3.844991
-10000.0,1,3.855994
-10018.918,2,3.863991
-10023.946,3,3.878991
-10034.478,4,3.900991
-10000.0,1,3.925001
-10018.255,2,3.931991
-10050.976,3,3.945992
-10019.39,2,3.966994
-10036.033,3,3.980992
-10009.769,2,4.001992
-10000.0,1,4.017984
-10009.646,2,4.031984
-10000.0,1,4.050987
-10022.775,2,4.060984
-10013.227,2,4.076984
-10040.744,5,4.094991
-10100.053,6,4.128991
-10039.353,4,4.166991
-10000.0,1,4.192993
-10000.0,1,4.197991
-10000.0,1,4.206991
-10071.6045,4,4.217993
-10000.0,1,4.241004
-10000.0,1,4.249991
-10045.845,3,4.254992
-10019.395,2,4.278991
-10067.181,4,4.292991
-10020.842,2,4.317991
-10033.761,3,4.332992
-10000.0,1,4.350991
-10022.291,2,4.359991
-10000.0,1,4.372991
-10000.0,1,4.377991
-10015.45,2,4.388991
-10024.993,3,4.401991
-10018.67,2,4.418991
-10017.042,2,4.432991
-10000.0,1,4.447991
-10051.1455,3,4.455991
-10021.509,2,4.471991
-10000.0,1,4.483993
-10000.0,1,4.494992
-10000.0,1,4.498991
-10019.086,2,4.511992
-10000.0,1,4.525991
-10027.918,4,4.536991
-10000.0,1,4.564985
-10048.524,4,4.577984
-10000.0,1,4.606984
-10000.0,1,4.615992
-10000.0,1,4.625995
-10000.0,1,4.631992
-10061.956,5,4.645991
-10047.627,5,4.684991
-10043.113,3,4.720991
-10036.865,3,4.742993
-10010.849,2,4.765991
-10016.327,2,4.781986
-10054.477,5,4.797992
-10064.284,4,4.831991
-10018.994,2,4.85999
-10000.0,1,4.876003
-10057.092,4,4.887991
-10026.962,3,4.918991
-10000.0,1,4.938992
-10000.0,1,4.951985
-10024.539,4,4.959994
-10000.0,1,4.985991
-10076.7295,5,4.999991
-10062.873,7,5.037991
-10000.0,1,5.087984
-10000.0,1,5.093985
-10000.0,1,5.102992
-10086.401,7,5.114992
-10000.0,1,5.163995
-10021.119,2,5.169992
-10096.401,6,5.187991
-10038.556,4,5.232992
-10072.094,5,5.264984
-10040.193,6,5.305991
-10027.176,4,5.351992
-10060.984,4,5.387984
-10000.0,1,5.415992
-10000.0,1,5.419991
-10015.671,2,5.431991
-10000.0,1,5.448992
-10059.2705,4,5.455992
-10000.0,1,5.482992
-10000.0,1,5.494992
-10082.657,5,5.505985
-10000.0,1,5.540986
-10028.052,4,5.548991
-10090.019,5,5.578985
-10038.049,5,5.619992
-10076.424,5,5.652992
-10027.46,3,5.690989
-10000.0,1,5.711992
-10000.0,1,5.725985
-10015.928,2,5.733986
-10000.0,1,5.747992
-10053.184,5,5.761991
-10052.276,6,5.800986
-10088.433,5,5.844991
-10027.492,2,5.883991
-10016.401,2,5.899991
-10057.339,4,5.918985
-10043.16,4,5.948992
-10093.666,5,5.982991
-10031.938,4,6.021992
-10023.043,2,6.061991
-10000.0,1,6.076004
-10068.549,4,6.088986
-10000.0,1,6.117991
-10063.142,5,6.128986
-10037.97,3,6.169991
-10000.0,1,6.187985
-10012.361,2,6.198992
-10040.582,3,6.218991
-10044.172,3,6.239991
-10000.0,1,6.264985
-10000.0,1,6.270993
-10053.988,5,6.285989
-10006.819,2,6.321985
-10021.005,2,6.338985
-10000.0,1,6.353985
-10035.188,3,6.369984
-10035.64,3,6.392986
-10029.51,3,6.418984
-10059.853,5,6.442005
-10016.66,2,6.481985
-10032.433,3,6.498984
-10000.0,1,6.517992
-10023.106,2,6.528991
-10010.312,3,6.547984
-10000.0,1,6.568992
-10046.766,3,6.579991
-10026.889,2,6.598988
-10015.213,2,6.617991
-10000.0,1,6.632992
-10016.192,2,6.643992
-10000.0,1,6.659004
-10037.734,3,6.668991
-10016.746,2,6.692996
-10000.0,1,6.707985
-10068.187,5,6.716991
-10022.08,3,6.757987
-10019.384,2,6.778992
-10079.574,6,6.797991
-10032.402,3,6.836994
-10000.0,1,6.860984
-10023.152,2,6.866991
-10050.228,3,6.885059
-10041.252,4,6.908993
-10078.751,6,6.939997
-10017.298,2,6.982991
-10000.0,1,6.995994
-10034.429,3,7.001991
-10000.0,1,7.028984
-10128.791,7,7.03999
-10000.0,1,7.086991
-10090.95,6,7.096987
-10000.0,1,7.135983
-10047.461,5,7.149991
-10000.0,1,7.182992
-10019.191,2,7.192985
-10016.461,2,7.209994
-10020.967,2,7.223991
-10000.0,1,7.237991
-10034.385,3,7.244992
-10017.282,2,7.268984
-10017.65,3,7.284992
-10065.612,6,7.306991
-10042.181,3,7.347991
-10018.246,2,7.370991
-10021.938,2,7.383991
-10037.553,3,7.397991
-10056.975,4,7.418991
-10018.609,2,7.446992
-10043.312,4,7.462991
-10039.304,3,7.492993
-10066.322,4,7.520992
-10000.0,1,7.552992
-10000.0,1,7.556991
