#{"t_start": 1709507487.822368, "env_id": "None"}
r,l,t
-88.022654,5,6.225251
-78.037616,7,6.228251
-86.129023,5,6.231251
-83.593001,6,6.23425
-82.387178,6,6.238251
-85.178864,5,6.240251
-82.183506,6,6.243251
-82.993472,6,6.24525
-78.810995,7,6.24925
-83.488018,6,6.251251
-74.130211,8,6.254251
-80.023956,7,6.25725
-73.569076,8,6.261251
-73.375512,8,6.26525
-77.34731,7,6.26725
-77.762939,7,6.31525
-78.275804,7,6.41225
-77.628304,7,6.51025
-85.637258,5,6.56125
-83.187611,6,6.62325
-81.514365,6,6.68325
-78.298963,7,6.75425
-77.910535,7,6.83225
-76.99101,7,6.914257
-73.044671,8,7.00325
-86.524856,6,7.06825
-75.506803,8,7.15425
-78.175927,7,7.22625
-83.093284,6,7.309251
-85.943183,6,7.38625
-85.632981,5,7.44525
-81.918374,6,7.50025
-83.167091,6,7.56425
-88.283188,5,7.61625
-82.023322,6,7.68125
-86.716439,5,7.73525
-85.817072,5,7.78725
-87.938736,5,7.83325
-84.037937,6,7.900261
-86.045738,6,7.971251
-90.400588,4,8.02125
-83.437656,6,8.08725
-85.450347,5,8.13525
-85.574023,5,8.18825
-81.577236,6,8.265251
-81.46654,6,8.340261
-82.136458,6,8.41125
-81.60192,6,8.46925
-78.062399,7,8.55025
-82.989271,6,8.617263
-88.296754,5,8.67125
-77.955153,7,8.74225
-78.008797,7,8.819251
-87.556144,5,8.874251
-83.390346,6,8.93925
-80.788996,6,9.00425
-81.532033,6,9.06525
-88.396597,5,9.11625
-81.167542,6,9.18525
-80.519031,6,9.25625
-85.012271,5,9.31225
-84.588905,5,9.39425
-81.74502,6,9.46225
-84.960851,5,9.51625
-78.415517,7,9.59425
-81.942144,6,9.663251
-83.194373,6,9.72925
-82.796944,6,9.79825
-81.333343,6,9.86625
-85.337284,5,9.91825
-82.228228,6,9.98225
-81.751159,6,10.05125
-84.856215,6,10.12025
-82.256658,6,10.188251
-81.171636,6,10.25225
-81.35782,6,10.32125
-84.12336,6,10.38925
-85.286722,5,10.44925
-85.790255,5,10.50525
-86.417806,5,10.56025
-85.570128,5,10.61825
-86.505727,5,10.67625
-85.638391,5,10.73225
-82.204215,6,10.79925
-85.688872,5,10.85725
-85.67617,5,10.90725
-82.216229,6,10.97425
-86.367221,6,11.041251
-86.304733,5,11.08825
-87.436336,5,11.137254
-83.011164,6,11.205251
-83.825068,6,11.27125
-88.881524,5,11.328249
-84.618557,5,11.37925
-80.955702,6,11.44325
-86.328033,5,11.49925
-88.765549,5,11.56025
-81.004944,6,11.62625
-83.092375,6,11.690261
-81.33779,6,11.759251
-82.322581,6,11.82625
-85.020995,6,11.88625
-86.875007,5,11.94025
-86.246305,5,11.99625
-87.20975,5,12.04325
-86.330509,5,12.093251
-86.115106,5,12.14325
-85.98132,5,12.19725
-83.323184,6,12.26925
-78.525243,7,12.35025
-86.397443,5,12.408264
-85.483783,5,12.468251
-81.594286,6,12.53425
-90.152796,5,12.588251
-86.010703,5,12.64625
-85.61355,5,12.69525
-80.956283,6,12.75225
-89.402332,4,12.79325
-84.858168,5,12.84725
-81.167272,6,12.91425
-87.95689,5,12.97425
-80.632668,6,13.04125
-82.70051,6,13.10225
-84.008192,6,13.16725
-77.278455,7,13.246263
-82.043256,6,13.314263
-84.056866,6,13.38025
-81.234675,6,13.44025
-85.088619,5,13.49625
-86.742501,5,13.55225
-88.321115,5,13.609251
-89.628902,5,13.65825
-88.078889,5,13.70625
-85.452091,5,13.76425
-82.347112,6,13.82925
-83.568202,6,13.897267
-87.620505,5,13.95226
-88.091029,5,14.00325
-83.389171,6,14.06525
