#{"t_start": 1709507286.2286575, "env_id": "None"}
r,l,t
-82.12001,7,6.010068
-89.863015,5,6.012068
-82.489022,7,6.015068
-90.581144,6,6.017071
-85.761108,6,6.020068
-75.556736,8,6.022068
-86.210771,7,6.025062
-79.283428,7,6.027068
-80.781793,7,6.03106
-78.06401,7,6.033062
-80.359791,6,6.035061
-79.198095,8,6.038069
-79.083442,7,6.041069
-85.295796,6,6.043061
-88.600354,6,6.045075
-66.520039,8,6.060067
-83.526615,7,6.140068
-80.987174,6,6.203068
-87.073156,6,6.262068
-91.021847,5,6.311071
-78.673062,5,6.354068
-95.756717,4,6.375071
-87.862263,5,6.395068
-90.181276,5,6.419069
-93.240616,4,6.442068
-90.053427,4,6.460062
-90.910926,4,6.479068
-93.697282,4,6.497071
-95.303446,4,6.516068
-92.900588,4,6.533068
-95.180563,4,6.551068
-92.624548,5,6.570068
-91.73362,5,6.59706
-92.62362,4,6.618071
-95.019327,4,6.635061
-84.982973,5,6.654061
-90.146042,4,6.679124
-85.544901,5,6.698111
-90.080443,5,6.719119
-90.01168,5,6.744068
-86.783022,5,6.767076
-88.031094,6,6.793061
-91.536837,5,6.820069
-85.787013,6,6.844072
-81.00378,7,6.87506
-90.098593,5,6.908068
-90.318309,5,6.929069
-81.963714,6,6.954069
-87.934349,5,6.982061
-89.49217,5,7.004061
-90.250783,5,7.028068
-89.908738,5,7.049061
-87.188372,5,7.077068
-89.832446,5,7.099068
-84.585899,6,7.124068
-88.726944,5,7.150068
-88.825831,5,7.17307
-89.854248,5,7.199072
-88.065115,5,7.22007
-90.32829,4,7.244069
-91.390049,5,7.265061
-85.745974,5,7.287061
-83.660423,6,7.312068
-87.836946,6,7.339068
-91.543595,5,7.368061
-80.256437,7,7.39206
-75.785476,7,7.426068
-82.258985,7,7.456068
-87.656449,6,7.490068
-91.099195,5,7.51607
-79.715581,7,7.540061
-89.919198,5,7.572061
-85.711569,6,7.594068
-91.38547,5,7.622072
-86.29835,5,7.650061
-93.208352,5,7.677068
-87.916243,5,7.703068
-83.805159,5,7.72407
-86.206631,5,7.748073
-89.624223,5,7.77007
-91.672213,5,7.795068
-89.808272,5,7.816071
-88.75356,5,7.839061
-85.019663,6,7.860068
-87.119731,6,7.888061
-85.0406,6,7.915061
-80.227438,6,7.942068
-76.664529,7,7.96907
-79.456587,7,8.004069
-85.067416,6,8.033075
-81.814586,6,8.059068
-83.383937,6,8.087072
-91.977872,5,8.119061
-89.440049,6,8.146104
-84.660852,6,8.176061
-89.719102,5,8.209062
-87.022093,5,8.23506
-88.97108,5,8.262061
-90.369274,5,8.285061
-86.00986,5,8.311061
-92.510778,5,8.33606
-90.478094,4,8.36007
-89.11696,5,8.379072
-91.2082,4,8.400061
-88.683188,5,8.421061
-89.335336,4,8.447071
-92.744698,4,8.465068
-89.395279,4,8.483068
-90.298447,5,8.505061
-89.744115,5,8.526061
-87.93132,5,8.552069
-84.704753,5,8.575061
-86.858377,5,8.600061
-89.883513,5,8.622075
-90.341608,5,8.647068
-89.78382,6,8.67006
-90.359299,5,8.700062
-89.33876,5,8.72607
-89.26566,5,8.750062
-90.651484,4,8.77407
-87.822721,5,8.79806
-93.456113,4,8.819069
-92.018296,5,8.840061
-86.551099,5,8.86407
-86.011052,6,8.88906
-92.087859,5,8.917073
-83.583336,7,8.944062
-87.560024,5,8.976061
-86.4783,5,9.008062
-82.959195,6,9.034061
-89.34755,5,9.064062
-88.942959,5,9.094061
-87.093876,5,9.129071
-83.606352,5,9.163063
-89.207242,5,9.189064
-86.658265,5,9.220062
-89.242363,5,9.251069
-90.088532,5,9.279076
-83.909768,5,9.305061
-92.059196,5,9.334073
-81.017262,6,9.361068
-90.772122,5,9.391068
-90.662357,4,9.417061
-83.276033,5,9.437073
-90.616338,5,9.463068
-90.642203,5,9.491066
-89.078463,5,9.515071
-91.710793,4,9.565061
-92.244115,5,9.592068
-91.241084,4,9.615068
-88.669286,5,9.637061
-94.696262,4,9.663068
-87.603222,5,9.686061
-84.62746,5,9.710061
-91.061634,5,9.737061
-93.511491,4,9.760068
-90.159856,4,9.78107
-92.430304,4,9.801068
-81.306109,6,9.821068
-92.03783,5,9.847063
-87.472242,5,9.873068
-89.681345,5,9.894068
-91.843696,4,9.917068
-95.194111,5,9.936068
-92.268346,4,9.958068
-88.552074,5,9.978068
